RegCode,ParkName,ParkCode,Location,Count,TypeCode
SE,Big South Fork National River and Recreation Area,BISO,TRAFFIC COUNT AT BLUE HERON,370,NR
SE,Big South Fork National River and Recreation Area,BISO,TRAFFIC COUNT AT BURNT MILL ROAD,233,NR
SE,Big South Fork National River and Recreation Area,BISO,TRAFFIC COUNT AT DIVIDE ROAD,717,NR
SE,Big South Fork National River and Recreation Area,BISO,TRAFFIC COUNT AT EAST O&W,188,NR
SE,Big South Fork National River and Recreation Area,BISO,TRAFFIC COUNT AT LEATHERWOOD FORD EAST,"2,570",NR
SE,Big South Fork National River and Recreation Area,BISO,TRAFFIC COUNT AT LEATHERWOOD FORD WEST,"2,301",NR
SE,Big South Fork National River and Recreation Area,BISO,TRAFFIC COUNT AT PETERS MOUNTAIN,368,NR
SE,Big South Fork National River and Recreation Area,BISO,TRAFFIC COUNT AT RUGBY HISTORIC DISTRICT,483,NR
SE,Big South Fork National River and Recreation Area,BISO,TRAFFIC COUNT AT STATION CAMP,286,NR
SE,Big South Fork National River and Recreation Area,BISO,TRAFFIC COUNT AT YAHOO FALLS,244,NR
SE,Big South Fork National River and Recreation Area,BISO,TRAFFIC COUNT AT ZENITH RIVER ACCESS,85,NR
IM,Big Thicket National Preserve,BITH,RAW TRAFFIC COUNT AT BIG SANDY TRAIL,20,PRESERVE
IM,Big Thicket National Preserve,BITH,RAW TRAFFIC COUNT AT KIRBY NATURE TRAIL,742,PRESERVE
IM,Big Thicket National Preserve,BITH,RAW TRAFFIC COUNT AT LNVA SALT WATER BARRIER BOAT LAUNCH,0,PRESERVE
IM,Big Thicket National Preserve,BITH,RAW TRAFFIC COUNT AT TURKEY CREEK TRAIL NORTH,64,PRESERVE
IM,Big Thicket National Preserve,BITH,TRAFFIC COUNT AT CONFLUENCE,0,PRESERVE
IM,Big Thicket National Preserve,BITH,TRAFFIC COUNT AT LAKEVIEW,183,PRESERVE
IM,Big Thicket National Preserve,BITH,TRAFFIC COUNT AT LANCE ROSIER,161,PRESERVE
IM,Big Thicket National Preserve,BITH,TRAFFIC COUNT AT TIMBERSLOUGH,325,PRESERVE
IM,Big Thicket National Preserve,BITH,Traffic Count at Beech Woods Trail,10,PRESERVE
IM,Big Thicket National Preserve,BITH,Traffic Count at Pitcher Plant Trail,191,PRESERVE
IM,Big Thicket National Preserve,BITH,Traffic Count at Sundew Trail,57,PRESERVE
IM,Big Thicket National Preserve,BITH,Traffic Count at Turkey/Gore North,15,PRESERVE
IM,Big Thicket National Preserve,BITH,Traffic Count at Turkey/Gore South,15,PRESERVE
IM,Big Thicket National Preserve,BITH,Traffic Count at Woodlands Trail,20,PRESERVE
IM,Bighorn Canyon National Recreation Area,BICA,TRAFFIC COUNT AT AFTERBAY,599,NRA
IM,Bighorn Canyon National Recreation Area,BICA,TRAFFIC COUNT AT HABITAT,0,NRA
IM,Bighorn Canyon National Recreation Area,BICA,TRAFFIC COUNT AT HIGHWAY 313,0,NRA
IM,Bighorn Canyon National Recreation Area,BICA,TRAFFIC COUNT AT MASON-LOVELL,0,NRA
IM,Bighorn Canyon National Recreation Area,BICA,TRAFFIC COUNT AT OK-A-BEH,514,NRA
IM,Bighorn Canyon National Recreation Area,BICA,TRAFFIC COUNT AT SOUTH ENTRANCE,628,NRA
IM,Bighorn Canyon National Recreation Area,BICA,TRAFFIC COUNT AT THREE MILE RANCE,"1,471",NRA
IM,Black Canyon of the Gunnison National Park,BLCA,TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,0,NP
IM,Black Canyon of the Gunnison National Park,BLCA,TRAFFIC COUNT AT SOUTH RIM DRIVE COUNTER,"1,711",NP
SE,Blue Ridge Parkway,BLRI,TRAFFIC COUNT AT MP 112.2 (SR 24 LEFT),"13,396",PKWY
SE,Blue Ridge Parkway,BLRI,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),"13,845",PKWY
SE,Blue Ridge Parkway,BLRI,TRAFFIC COUNT AT MP 121.5 (U.S. 220 RIGHT),"13,582",PKWY
SE,Blue Ridge Parkway,BLRI,TRAFFIC COUNT AT MP 199.4 (U.S. 52 LEFT),"1,960",PKWY
SE,Blue Ridge Parkway,BLRI,TRAFFIC COUNT AT MP 2.2 (SOUTH OF ROCKFISH GAP),"4,486",PKWY
SE,Blue Ridge Parkway,BLRI,TRAFFIC COUNT AT MP 229.6 (U.S. 21 AT ROARING GAP LEFT),571,PKWY
SE,Blue Ridge Parkway,BLRI,TRAFFIC COUNT AT MP 291.8 (U.S. 221 & U.S. 321 RIGHT),"8,254",PKWY
SE,Blue Ridge Parkway,BLRI,TRAFFIC COUNT AT MP 330.9 (SR 222 AT GILLESPIE GAP RIGHT),"8,259",PKWY
SE,Blue Ridge Parkway,BLRI,TRAFFIC COUNT AT MP 382.5 (U.S. 70 RIGHT),"26,261",PKWY
SE,Blue Ridge Parkway,BLRI,TRAFFIC COUNT AT MP 384.7 (U.S. 74 RIGHT),"22,351",PKWY
SE,Blue Ridge Parkway,BLRI,TRAFFIC COUNT AT MP 388.7 (U.S. 25 RIGHT),"48,143",PKWY
SE,Blue Ridge Parkway,BLRI,TRAFFIC COUNT AT MP 388.9 (U.S. 25 LEFT),"12,710",PKWY
SE,Blue Ridge Parkway,BLRI,TRAFFIC COUNT AT MP 443.2 (U.S. 23-74 BALSAM GAP RIGHT),945,PKWY
SE,Blue Ridge Parkway,BLRI,TRAFFIC COUNT AT MP 61.6 (STATE ROUTE 130 RIGHT),"3,420",PKWY
SE,Blue Ridge Parkway,BLRI,TRAFFIC COUNT AT MP 85.9 (SR 43 PEAKS OF OTTER RIGHT),"5,177",PKWY
NE,Booker T. Washington National Monument,BOWA,TRAFFIC COUNT AT MAIN ENTRANCE,364,NM
IM,Bryce Canyon National Park,BRCA,TRAFFIC COUNT AT ENTRANCE STATION,"9,423",NP
MW,Buffalo National River,BUFF,TRAFFIC COUNT AT 65 BRIDGE ROAD,"1,506",RVR
MW,Buffalo National River,BUFF,TRAFFIC COUNT AT BAKER FORD (ROUTE 232),98,RVR
MW,Buffalo National River,BUFF,TRAFFIC COUNT AT BUFFALO ROAD,"1,456",RVR
MW,Buffalo National River,BUFF,TRAFFIC COUNT AT CARVER ROAD (ROUTE 460),349,RVR
MW,Buffalo National River,BUFF,TRAFFIC COUNT AT ERBIE ROAD (ROUTE 145),225,RVR
MW,Buffalo National River,BUFF,TRAFFIC COUNT AT GIBERT ROAD (ROUTE 930),430,RVR
MW,Buffalo National River,BUFF,TRAFFIC COUNT AT HASTY ROAD (ROUTE 943),135,RVR
MW,Buffalo National River,BUFF,TRAFFIC COUNT AT HWY 14 BRIDGE ROAD (ROUTE 284),"2,451",RVR
MW,Buffalo National River,BUFF,TRAFFIC COUNT AT KYLES LANDING ROAD (ROUTE 144),343,RVR
MW,Buffalo National River,BUFF,TRAFFIC COUNT AT LOST VALLEY ROAD (ROUTE 244),579,RVR
MW,Buffalo National River,BUFF,TRAFFIC COUNT AT LOWER PRUITT ROAD (ROUTE 942),586,RVR
MW,Buffalo National River,BUFF,TRAFFIC COUNT AT MAUMEE ROAD (ROUTE 228),225,RVR
MW,Buffalo National River,BUFF,TRAFFIC COUNT AT MAUMEE SOUTH ROAD (ROUTE 229),53,RVR
MW,Buffalo National River,BUFF,TRAFFIC COUNT AT NIYNT HERSEY (ROUTE 132),23,RVR
MW,Buffalo National River,BUFF,TRAFFIC COUNT AT OZARK CG ROAD (ROUTE 248),212,RVR
MW,Buffalo National River,BUFF,TRAFFIC COUNT AT RUSH ROAD (ROUTE 121),750,RVR
MW,Buffalo National River,BUFF,TRAFFIC COUNT AT SHINEYE ROAD,20,RVR
MW,Buffalo National River,BUFF,TRAFFIC COUNT AT SPRING CREEK,52,RVR
MW,Buffalo National River,BUFF,TRAFFIC COUNT AT STEEL CREEK ROAD (ROUTE 143),"1,326",RVR
MW,Buffalo National River,BUFF,TRAFFIC COUNT AT TYLER BEND,147,RVR
MW,Buffalo National River,BUFF,TRAFFIC COUNT AT UPPER PRUITT ROAD (ROUTE 942),846,RVR
MW,Buffalo National River,BUFF,TRAFFIC COUNT AT WOOLUM ROAD (ROUTE 131),423,RVR
PW,Cabrillo National Monument,CABR,TRAFFIC COUNT AT MAIN ENTRANCE,"30,994",NM
SE,Canaveral National Seashore,CANA,TRAFFIC COUNT AT APOLLO BEACH,"13,508",NS
SE,Canaveral National Seashore,CANA,TRAFFIC COUNT AT PLAYALINDA BEACH,"18,190",NS
SE,Cane River Creole National Historical Park,CARI,MAGNOLIA TRAFFIC COUNT,278,NHP
SE,Cane River Creole National Historical Park,CARI,OAKLAND TRAFFIC COUNT,315,NHP
IM,Canyon De Chelly National Monument,CACH,TRAFFIC COUNT AT MAIN ENTRANCE,"151,500",NM
IM,Canyon De Chelly National Monument,CACH,TRAFFIC COUNT AT NORTH RIM,"51,000",NM
IM,Canyon De Chelly National Monument,CACH,TRAFFIC COUNT AT SOUTH RIM,"22,000",NM
IM,Canyonlands National Park,CANY,TRAFFIC COUNT AT ELEPHANT HILL,0,NP
IM,Canyonlands National Park,CANY,TRAFFIC COUNT AT HORSESHOE CANYON,19,NP
IM,Canyonlands National Park,CANY,TRAFFIC COUNT AT ISLAND PROPER ENTRANCE,"1,714",NP
IM,Canyonlands National Park,CANY,TRAFFIC COUNT AT MAZE OVERLOOK,2,NP
IM,Canyonlands National Park,CANY,TRAFFIC COUNT AT NEEDLES PROPER,575,NP
IM,Canyonlands National Park,CANY,TRAFFIC COUNT AT SHAFER TRAIL,0,NP
IM,Canyonlands National Park,CANY,TRAFFIC COUNT AT STANDING ROCKS,1,NP
IM,Canyonlands National Park,CANY,TRAFFIC COUNT AT WHITE RIM EAST SIDE,0,NP
IM,Canyonlands National Park,CANY,TRAFFIC COUNT AT WHITE RIM WEST SIDE,0,NP
NE,Cape Cod National Seashore,CACO,TRAFFIC COUNT AT BEECH FOREST,"1,441",NS
NE,Cape Cod National Seashore,CACO,TRAFFIC COUNT AT COAST GUARD BEACH (LOW-USE SEASON),"3,521",NS
NE,Cape Cod National Seashore,CACO,TRAFFIC COUNT AT DOANE ROCK,798,NS
NE,Cape Cod National Seashore,CACO,TRAFFIC COUNT AT FORT HILL,"4,959",NS
NE,Cape Cod National Seashore,CACO,TRAFFIC COUNT AT GREAT ISLAND,746,NS
NE,Cape Cod National Seashore,CACO,TRAFFIC COUNT AT HEAD OF THE MEADOW BEACH,"3,081",NS
NE,Cape Cod National Seashore,CACO,TRAFFIC COUNT AT HERRING COVE BEACH,"6,940",NS
NE,Cape Cod National Seashore,CACO,TRAFFIC COUNT AT LITTLE CREEK AREA (HIGH-USE SEASON),0,NS
NE,Cape Cod National Seashore,CACO,TRAFFIC COUNT AT MARCONI BEACH,"1,156",NS
NE,Cape Cod National Seashore,CACO,TRAFFIC COUNT AT MARCONI STATION,536,NS
NE,Cape Cod National Seashore,CACO,TRAFFIC COUNT AT NAUSET LIGHT BEACH,"7,240",NS
NE,Cape Cod National Seashore,CACO,TRAFFIC COUNT AT PILGRIM HEIGHTS,"1,416",NS
NE,Cape Cod National Seashore,CACO,TRAFFIC COUNT AT PROVINCETOWN AIRPORT,213,NS
NE,Cape Cod National Seashore,CACO,TRAFFIC COUNT AT PROVINCETOWN VISITOR CENTER,522,NS
NE,Cape Cod National Seashore,CACO,TRAFFIC COUNT AT RACE POINT BEACH,"2,495",NS
NE,Cape Cod National Seashore,CACO,TRAFFIC COUNT AT SALT POND VISITOR CENTER,"4,825",NS
SE,Cape Hatteras National Seashore,CAHA,TRAFFIC COUNT AT Coquina Beach,979,NS
SE,Cape Hatteras National Seashore,CAHA,TRAFFIC COUNT AT RAMP 34,"2,413",NS
SE,Cape Hatteras National Seashore,CAHA,TRAFFIC COUNT AT RAMP 43/44,"2,124",NS
SE,Cape Hatteras National Seashore,CAHA,TRAFFIC COUNT AT RAMP 55,41,NS
SE,Cape Hatteras National Seashore,CAHA,TRAFFIC COUNT AT RAMP 70,146,NS
SE,Cape Hatteras National Seashore,CAHA,TRAFFIC COUNT AT WHALEBONE JUNCTION,"34,046",NS
SE,Cape Lookout National Seashore,CALO,TRAFFIC COUNT AT PICNIC AREA,"2,950",NS
IM,Capitol Reef National Park,CARE,TRAFFIC COUNT AT BULLFROG,108,NP
IM,Capitol Reef National Park,CARE,TRAFFIC COUNT AT BURR TRAIL,150,NP
IM,Capitol Reef National Park,CARE,TRAFFIC COUNT AT CEDAR MESA,144,NP
IM,Capitol Reef National Park,CARE,TRAFFIC COUNT AT GOOSENECKS,638,NP
IM,Capitol Reef National Park,CARE,TRAFFIC COUNT AT NORTH DISTRICT,40,NP
IM,Capitol Reef National Park,CARE,TRAFFIC COUNT AT PETROGLYPHS ENTRANCE,848,NP
IM,Capitol Reef National Park,CARE,TRAFFIC COUNT AT SCENIC DRIVE,489,NP
IM,Capitol Reef National Park,CARE,TRAFFIC COUNT AT US 24 EAST ONLY (pre 2010),0,NP
IM,Capitol Reef National Park,CARE,TRAFFIC COUNT AT VC,"2,100",NP
IM,Capitol Reef National Park,CARE,TRAFFIC COUNT ON US 24 EAST/WEST effective 2010,"5,149",NP
IM,Capulin Volcano National Monument,CAVO,Highway 325,253,NM
IM,Capulin Volcano National Monument,CAVO,Main Park Road,424,NM
IM,Carlsbad Caverns National Park,CAVE,TRAFFIC COUNT AT MAIN ENTRANCE,"5,581",NP
IM,Carlsbad Caverns National Park,CAVE,TRAFFIC COUNT AT RATTLESNAKE SPRINGS,712,NP
IM,Cedar Breaks National Monument,CEBR,TRAFFIC COUNT AT EAST ENTRANCE,"1,874",NM
IM,Cedar Breaks National Monument,CEBR,TRAFFIC COUNT AT NORTH ENTRANCE,"2,527",NM
IM,Cedar Breaks National Monument,CEBR,TRAFFIC COUNT AT SOUTH ENTRANCE,"1,085",NM
SE,Charles Pinckney National Historic Site,CHPI,TRAFFIC COUNT AT THE MAIN ENTRANCE,"1,262",NHS
SE,Chattahoochee River National Recreation Area,CHAT,TRAFFIC COUNT AT ABBOTTS BRIDGE,489,NRA
SE,Chattahoochee River National Recreation Area,CHAT,TRAFFIC COUNT AT BOWMAN'S ISLAND,"5,142",NRA
SE,Chattahoochee River National Recreation Area,CHAT,TRAFFIC COUNT AT COCHRAN SHOALS,"14,868",NRA
SE,Chattahoochee River National Recreation Area,CHAT,TRAFFIC COUNT AT COLUMNS DRIVE,"5,468",NRA
SE,Chattahoochee River National Recreation Area,CHAT,TRAFFIC COUNT AT GOLD BRANCH,"2,236",NRA
SE,Chattahoochee River National Recreation Area,CHAT,TRAFFIC COUNT AT ISLAND FORD,"4,358",NRA
SE,Chattahoochee River National Recreation Area,CHAT,TRAFFIC COUNT AT JOHNSON FERRY SOUTH UNIT 1,937,NRA
SE,Chattahoochee River National Recreation Area,CHAT,TRAFFIC COUNT AT JOHNSON'S FERRY NORTH,"3,309",NRA
SE,Chattahoochee River National Recreation Area,CHAT,TRAFFIC COUNT AT JONES BRIDGE,"3,129",NRA
SE,Chattahoochee River National Recreation Area,CHAT,TRAFFIC COUNT AT MEDLOCK BRIDGE,"1,277",NRA
SE,Chattahoochee River National Recreation Area,CHAT,TRAFFIC COUNT AT PACES MILL,"5,981",NRA
SE,Chattahoochee River National Recreation Area,CHAT,TRAFFIC COUNT AT PALISADES EAST (INDIAN TRAIL),"2,225",NRA
SE,Chattahoochee River National Recreation Area,CHAT,TRAFFIC COUNT AT PALISADES WEST ATLANTA RANGER STATION,"1,400",NRA
SE,Chattahoochee River National Recreation Area,CHAT,TRAFFIC COUNT AT POWERS ISLAND,"2,446",NRA
SE,Chattahoochee River National Recreation Area,CHAT,TRAFFIC COUNT AT SOPE CREEK,930,NRA
SE,Chattahoochee River National Recreation Area,CHAT,TRAFFIC COUNT AT VICKERY CREEK,"1,400",NRA
SE,Chattahoochee River National Recreation Area,CHAT,TRAFFIC COUNT AT WHITEWATER CREEK,868,NRA
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAFFIC COUNT  AT CARDEROCK,"1,856",NHP
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAFFIC COUNT  AT PENNYFIELD,"1,056",NHP
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAFFIC COUNT AT BRUNSWICK,"1,776",NHP
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAFFIC COUNT AT DAM-5 PARKING LOT,466,NHP
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAFFIC COUNT AT DARGAN BEND,651,NHP
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAFFIC COUNT AT EDWARDS FERRY,"2,550",NHP
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAFFIC COUNT AT FIFTEEN MILE,737,NHP
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAFFIC COUNT AT FLETCHER'S,"1,293",NHP
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAFFIC COUNT AT FOUR LOCKS,794,NHP
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAFFIC COUNT AT GREAT FALLS TAVERN BOOTH,"7,833",NHP
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAFFIC COUNT AT LANDER,"1,227",NHP
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAFFIC COUNT AT LITTLE TONOLOWAY,"1,176",NHP
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAFFIC COUNT AT LOCK 44,"3,320",NHP
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAFFIC COUNT AT LOCK 7,975,NHP
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAFFIC COUNT AT LOCK 8,856,NHP
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAFFIC COUNT AT LOCKHOUSE 74,0,NHP
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAFFIC COUNT AT MONOCACY,965,NHP
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAFFIC COUNT AT NOLAND'S FERRY,"1,963",NHP
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAFFIC COUNT AT OLDTOWN,156,NHP
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAFFIC COUNT AT PAW PAW TUNNEL PARKING LOT,856,NHP
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAFFIC COUNT AT POINT OF ROCKS,"2,829",NHP
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAFFIC COUNT AT SENECA/RILEYS LOCK,393,NHP
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAFFIC COUNT AT SLACKWATER,382,NHP
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAFFIC COUNT AT SWAINS LOCK,"2,580",NHP
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAFFIC COUNT AT TOWN CREEK AQUEDUCT,140,NHP
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAFFIC COUNT AT VIOLETTES LOCK,491,NHP
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAFFIC COUNT AT WILLIAMSPORT,"7,743",NHP
NC,Chesapeake and Ohio Canal National Historical Park,CHOH,TRAIL COUNT AT COHILL STATION,130,NHP
SE,Chickamauga and Chattanooga National Military Park,CHCH,TRAFFIC COUNT AT MCFARLAND GAP ROAD EASTBOUND LANE,"28,514",NMP
SE,Chickamauga and Chattanooga National Military Park,CHCH,TRAFFIC COUNT AT OLD LAFAYETTE ROAD NORTHBOUND LANE,"79,414",NMP
SE,Chickamauga and Chattanooga National Military Park,CHCH,TRAFFIC COUNT AT OLD LAFAYETTE ROAD SOUTHBOUND LANE,"77,330",NMP
SE,Chickamauga and Chattanooga National Military Park,CHCH,TRAFFIC COUNT AT REEDS BRIDGE ROAD WESTBOUND LANE,"31,108",NMP
SE,Chickamauga and Chattanooga National Military Park,CHCH,TRAFFIC COUNT AT SANDERS ROAD PICNIC AREA (ENTRANCE LANE),0,NMP
SE,Chickamauga and Chattanooga National Military Park,CHCH,TRAFFIC COUNT AT SIGNAL POINT PARKING AREA (ENTRANCE),"1,414",NMP
IM,Chickasaw National Recreation Area,CHIC,TRAFFIC COUNT AT 12TH STREET,"5,019",NRA
IM,Chickasaw National Recreation Area,CHIC,TRAFFIC COUNT AT 177 SOUTH (NON-REC TRAFFIC),"102,775",NRA
IM,Chickasaw National Recreation Area,CHIC,TRAFFIC COUNT AT CEDAR BLUE,602,NRA
IM,Chickasaw National Recreation Area,CHIC,TRAFFIC COUNT AT GUY SANDY EAST,234,NRA
IM,Chickasaw National Recreation Area,CHIC,TRAFFIC COUNT AT GUY SANDY HARBOR (MAIN ENTRANCE),"1,294",NRA
IM,Chickasaw National Recreation Area,CHIC,TRAFFIC COUNT AT GUY SANDY WEST AREA,92,NRA
IM,Chickasaw National Recreation Area,CHIC,TRAFFIC COUNT AT MAIN ENTRANCE ROAD (BUCKHORN RD),"1,158",NRA
IM,Chickasaw National Recreation Area,CHIC,TRAFFIC COUNT AT NORTHEAST DRIVE (WESTBOUND),"10,803",NRA
IM,Chickasaw National Recreation Area,CHIC,TRAFFIC COUNT AT NORTHWEST DRIVE (EASTBOUND),"4,761",NRA
IM,Chickasaw National Recreation Area,CHIC,TRAFFIC COUNT AT POINT ACCESS ROAD,"1,204",NRA
IM,Chickasaw National Recreation Area,CHIC,TRAFFIC COUNT AT SOUTHWEST PERIMETER DRIVE (LAKE),"2,414",NRA
IM,Chickasaw National Recreation Area,CHIC,TRAFFIC COUNT AT STATE LAUNCH RAMP,0,NRA
PW,City Of Rocks National Reserve,CIRO,TRAFFIC COUNT AT CIRCLE CREEK ENTRANCE,0,NRES
PW,City Of Rocks National Reserve,CIRO,TRAFFIC COUNT AT EMERY ENTRANCE,0,NRES
PW,City Of Rocks National Reserve,CIRO,TRAFFIC COUNT AT EMIGRANT ENTRANCE,0,NRES
NE,Colonial National Historical Park,COLO,TRAFFIC COUNT AT COLLEGE CREEK #1,"11,262",NHP
NE,Colonial National Historical Park,COLO,TRAFFIC COUNT AT COLLEGE CREEK #2,"12,298",NHP
NE,Colonial National Historical Park,COLO,TRAFFIC COUNT AT WILLIAMSBURG T/C #1,"41,703",NHP
NE,Colonial National Historical Park,COLO,TRAFFIC COUNT AT WILLIAMSBURG T/C #3,"59,311",NHP
