Region,Type,ParkName,DayVisits,Campers,OtherLodging,Acres
Southeast,MONUMENT,Fort Pulaski National Monument,"344,921",0,0,"5,623.10"
Southeast,MONUMENT,Fort Sumter National Monument,"888,330",0,0,234.74
Southeast,MONUMENT,Ocmulgee National Monument,"162,260",0,0,703.70
Southeast,MONUMENT,Russell Cave National Monument,"24,649",0,0,310.45
Southeast,PARK,Biscayne National Park,"514,709",2522,0,"172,971.11"
Southeast,PARK,Congaree National Park,"143,843",286,0,"26,275.82"
Southeast,PARK,Dry Tortugas National Park,"73,661",5934,0,"64,701.22"
Southeast,PARK,Everglades National Park,"930,907",31935,0,"1,400,539.30"
Southeast,PARK,Great Smoky Mountains National Park,"11,312,786",411603,"11,493","522,426.88"
Southeast,PRESERVE,Little River Canyon National Preserve,"462,700",0,0,"15,288.53"
Southeast,PARK,Mammoth Cave National Park,"586,514",60972,"16,365","52,830.19"
Southeast,PARK,Virgin Islands National Park,"411,343",15842,"14,214","14,948.46"
Southeast,SEASHORE,Canaveral National Seashore,"1,629,944",2636,0,"57,661.69"
Southeast,SEASHORE,Cape Hatteras National Seashore,"2,411,711",66062,0,"30,350.65"
Southeast,SEASHORE,Cape Lookout National Seashore,"458,000",37197,"10,118","28,243.36"
Southeast,SEASHORE,Cumberland Island National Seashore,"61,896",19163,0,"36,346.83"
Southeast,SEASHORE,Gulf Islands National Seashore,"4,771,309",178701,0,"138,305.52"
Southeast,PRESERVE,Big Cypress National Preserve,"1,102,148",17714,0,"574,453.32"
