Season,Name,Basin,Type,MaxWindMPH,MinPressure,StartDate,EndDate,Hem_NS,Hem_EW,Lat,Lon
1980,WALLY,SP,NR,40,995,02APR1980,07APR1980,S,W,-15.3,178.5
1980,WILF/DANITZA,SI,TS,81,973,23DEC1979,03JAN1980,S,E,-15.5,92.7
1980,WYNNE,WP,ET,138,890,03OCT1980,15OCT1980,N,E,19.1,137
1981,,NA,SS,69,978,06APR1981,17NOV1981,N,W,33.7,-70.6
1981,ADRIAN,EP,TS,46,,30MAY1981,04JUN1981,N,W,13,-102.8
1981,AGNES,WP,ET,92,950,25AUG1981,06SEP1981,N,E,24.9,126.5
1981,ALICE/ADELAI,SI,NR,121,940,03NOV1980,14NOV1980,S,E,-10.4,89.4
1981,ARLENE,NA,TS,58,999,06MAY1981,09MAY1981,N,W,23,-74.5
1981,ARTHUR,SP,NR,81,965,11JAN1981,17JAN1981,S,E,-16.7,176.9
1981,BEATRIZ,EP,TS,86,,28JUN1981,04JUL1981,N,W,16.1,-112.9
1981,BETSY,SP,NR,46,990,30JAN1981,04FEB1981,S,E,-18.2,-170.3
1981,BETTINA80,SI,TS,,,22NOV1980,01DEC1980,S,E,-18.2,-170.3
1981,BILL,WP,ET,86,960,01SEP1981,08SEP1981,N,E,28.2,145.6
1981,BRET,NA,TS,69,996,29JUN1981,01JUL1981,N,W,36,-71
1981,CALVIN,EP,TS,52,,04JUL1981,09JUL1981,N,W,14.3,-105.7
1981,CAROL,SI,NR,127,940,12DEC1980,22DEC1980,S,E,-16.5,106
1981,CHRIST80,SI,TS,,,03DEC1980,09DEC1980,S,E,-16.5,106
1981,CINDY,NA,ET,58,1002,02AUG1981,05AUG1981,N,W,39,-63.8
1981,CLARA,WP,ET,115,925,13SEP1981,02OCT1981,N,E,18.3,122.9
1981,CLIFF,SP,NR,75,970,08FEB1981,15FEB1981,S,E,-17.3,168
1981,CYC1981,SP,NR,58,985,16FEB1981,31MAR1981,S,W,-22,-160.4
1981,DAMAN,SP,NR,63,980,20FEB1981,24FEB1981,S,W,-18.6,-163
1981,DAN,SI,NR,58,985,14DEC1980,18DEC1980,S,E,-9.7,103.7
1981,DENNIS,NA,ET,81,995,07AUG1981,22AUG1981,N,W,37.1,-70.4
1981,DIANA,SI,TS,,,17DEC1980,19DEC1980,S,E,-9.7,103.7
1981,DIOLA,SP,NR,46,990,27NOV1980,30NOV1980,S,W,-20,-139.2
1981,DORA,EP,TS,92,,10JUL1981,16JUL1981,N,W,17.4,-121.2
1981,DOYLE,WP,ET,81,965,19SEP1981,24SEP1981,N,E,29.1,161.8
1981,EDDIE,SP,NR,63,980,08FEB1981,13FEB1981,S,E,-16.5,138.2
1981,EDNA,SI,NR,46,994,20DEC1980,27DEC1980,S,E,-11.1,102.4
1981,EDWIGE80,SI,TS,,,28DEC1980,01JAN1981,S,E,-11.1,102.4
1981,ELSIE,WP,ET,138,895,23SEP1981,06OCT1981,N,E,16.7,135.3
1981,EMILY,NA,ET,92,966,31AUG1981,12SEP1981,N,W,39.4,-59.9
1981,ESAU,SP,NR,63,980,01MAR1981,05MAR1981,S,W,-16.1,-167.3
1981,EUGENE,EP,TS,52,,16JUL1981,21JUL1981,N,W,18.1,-112.7
1981,FABIAN,WP,ET,52,994,10OCT1981,16OCT1981,N,E,11.5,109.8
1981,FELIX,SI,NR,115,940,22DEC1980,31DEC1980,S,E,-14.7,112.2
1981,FERNANDA,EP,TS,104,,06AUG1981,13AUG1981,N,W,17.8,-130.6
1981,FLORINE,SI,ET,,,03JAN1981,11JAN1981,S,E,-14.7,112.2
1981,FLOYD,NA,TS,115,975,03SEP1981,12SEP1981,N,W,26.4,-69.1
1981,FRAN,SP,NR,58,985,17MAR1981,24MAR1981,S,W,-18.9,-155.9
1981,FREDA,WP,TS,104,945,12MAR1981,18MAR1981,N,E,16.8,162.8
1981,FREDA,SP,NR,92,955,24FEB1981,09MAR1981,S,E,-19.3,163
1981,GAELLE,SI,TS,,,16JAN1981,20JAN1981,S,E,-19.3,163
1981,GAY,WP,ET,98,950,14OCT1981,23OCT1981,N,E,18.6,135
1981,GERALD(-)1,WP,TS,69,980,15APR1981,23APR1981,N,E,8.3,146.6
1981,GERT,NA,TS,104,988,07SEP1981,15SEP1981,N,W,29,-72
1981,GREG,EP,TS,75,,13AUG1981,22AUG1981,N,W,18,-138.7
1981,HARVEY,NA,ET,132,946,11SEP1981,20SEP1981,N,W,28.4,-62.6
1981,HAZEN,WP,ET,81,955,13NOV1981,23NOV1981,N,E,13.5,140.7
1981,HELYETTE,SI,ET,,,29JAN1981,06FEB1981,S,E,-19.3,163
1981,HILARY,EP,TS,86,,21AUG1981,28AUG1981,N,W,21,-117.1
1981,HOLLY,WP,TS,52,996,29APR1981,08MAY1981,N,E,9.5,155
1981,IADINE,SI,ET,,,17FEB1981,25FEB1981,S,E,-19.3,163
1981,IKE,WP,TS,69,965,08JUN1981,17JUN1981,N,E,21.3,118.7
1981,IRENE,NA,ET,121,959,21SEP1981,03OCT1981,N,W,25.8,-56.8
1981,IRMA,WP,ET,127,905,18NOV1981,27NOV1981,N,E,13.1,134.4
1981,IRWIN,EP,TS,52,,27AUG1981,31AUG1981,N,W,19.1,-105.5
1981,JEFF,WP,TS,46,1000,20NOV1981,26NOV1981,N,E,13.7,146.9
1981,JOHANNE,SI,NR,,,04MAR1981,11MAR1981,S,E,-19.3,163
1981,JOSE,NA,SS,52,998,29OCT1981,02NOV1981,N,W,31.5,-42.2
1981,JOVA,EP,TS,86,,14SEP1981,21SEP1981,N,W,16.7,-133.3
1981,JUNE,WP,ET,81,965,15JUN1981,26JUN1981,N,E,20.9,123.5
1981,KATRINA,NA,TS,86,980,03NOV1981,07NOV1981,N,W,20,-80.5
1981,KELLY,WP,TS,69,975,27JUN1981,06JUL1981,N,E,14.8,114.8
1981,KIT(-)1,WP,TS,115,925,09DEC1981,22DEC1981,N,E,15.8,136.2
1981,KLARA,SI,NR,,,31MAR1981,08APR1981,S,E,-19.3,163
1981,KNUT,EP,ET,63,,19SEP1981,21SEP1981,N,W,18.6,-109.9
1981,LEE,WP,TS,92,950,22DEC1981,29DEC1981,N,E,12.7,126.3
1981,LIDIA,EP,TS,52,,06OCT1981,08OCT1981,N,W,20.4,-109.5
1981,LISA,SI,TS,,,07APR1981,16APR1981,S,E,-19.3,163
1981,LYNN,WP,TS,63,985,02JUL1981,07JUL1981,N,E,15.5,121.5
1981,MABEL,SI,NR,127,930,12JAN1981,21JAN1981,S,E,-18.9,114.8
1981,MAURY,WP,ET,58,985,17JUL1981,23JUL1981,N,E,23.9,125.4
1981,MAX,EP,TS,52,,07OCT1981,10OCT1981,N,W,17.3,-117.2
1981,MAX,SI,NR,98,960,09MAR1981,19MAR1981,S,E,-12.4,118.9
1981,NEIL,SI,NR,121,940,24FEB1981,07MAR1981,S,E,-16.8,105.9
1981,NORMA,EP,TS,127,,08OCT1981,12OCT1981,N,W,17.8,-108.2
1981,OGDEN,WP,TS,58,975,26JUL1981,01AUG1981,N,E,28.2,140.6
1981,OLGA,SI,NR,109,940,05APR1981,15APR1981,S,E,-13.9,89.5
1981,OTIS,EP,TS,86,,24OCT1981,30OCT1981,N,W,14,-101.9
1981,PADDY,SI,NR,75,973,24MAY1981,30MAY1981,S,E,-12.2,92
1981,PHYLLIS,WP,ET,63,975,02AUG1981,08AUG1981,N,E,38.5,145.3
1981,ROY,WP,TS,52,985,02AUG1981,11AUG1981,N,E,16.8,117.2
1981,SUSAN,WP,ET,69,980,06AUG1981,15AUG1981,N,E,31.6,161.3
1981,TAHMAR,SP,NR,75,970,08MAR1981,13MAR1981,S,W,-20.4,-148.3
1981,TD0721,WP,ET,46,992,21JUL1981,25JUL1981,N,E,26.6,122.2
1981,TD0731,WP,TS,46,988,31JUL1981,02AUG1981,N,E,19,141
1981,THAD,WP,ET,81,955,15AUG1981,25AUG1981,N,E,22.2,133.4
1981,VANESSA,WP,ET,58,980,16AUG1981,23AUG1981,N,E,29.6,160.6
1981,WARREN,WP,ET,40,992,16AUG1981,21AUG1981,N,E,18.6,109.8
1982,,NA,TS,69,984,18JUN1982,27SEP1982,N,W,31.4,-80.3
1982,,SP,NR,52,988,19DEC1981,23DEC1981,S,E,-12,137.9
1982,ABIGAIL,SP,NR,81,965,22JAN1982,07FEB1982,S,E,-19.9,162
1982,AKONI,EP,TS,52,,30AUG1982,02SEP1982,N,W,13.8,-174
1982,ALBERTO,NA,TS,86,985,02JUN1982,06JUN1982,N,W,24,-83.6
1982,ALETTA,EP,TS,63,,20MAY1982,29MAY1982,N,W,14.1,-103.8
1982,AMELIA,SI,NR,40,996,30NOV1981,06DEC1981,S,E,-12.2,126.6
1982,ANDY(-)1,WP,TS,115,930,21JUL1982,01AUG1982,N,E,21.1,124.6
1982,BENEDICTE,SI,TS,83,954,17DEC1981,25DEC1981,S,E,-17,40
1982,BERNIE,SP,NR,115,945,01APR1982,14APR1982,S,W,-17.7,156.6
1982,BERYL,NA,TS,69,989,28AUG1982,06SEP1982,N,W,17.2,-36.4
1982,BESS,WP,ET,144,900,21JUL1982,03AUG1982,N,E,19.8,145.6
1982,BESSI/ARMELL,SI,TS,60,976,11NOV1981,20NOV1981,S,E,-11,77
1982,BUD,EP,TS,52,,15JUN1982,17JUN1982,N,W,13.3,-106.4
1982,CARLOTTA,EP,TS,58,,01JUL1982,06JUL1982,N,W,17.8,-112.8
1982,CECIL,WP,ET,127,920,04AUG1982,15AUG1982,N,E,22.3,123.4
1982,CHRIS,NA,TS,63,994,09SEP1982,12SEP1982,N,W,29.8,-93.8
1982,CLARISSEE,SI,TS,32,997,29DEC1981,07JAN1982,S,E,-15,78
1982,CLAUDIA,SP,NR,46,990,14MAY1982,18MAY1982,S,E,-13.9,159
1982,CORAL,SP,NR,40,996,04FEB1982,06FEB1982,S,E,-14.7,138.5
1982,DAMIA,SI,ET,129,898,05JAN1982,23JAN1982,S,E,-13,77.3
1982,DANIEL,EP,TS,115,,07JUL1982,22JUL1982,N,W,14.3,-114.3
1982,DEBBY,NA,ET,132,950,13SEP1982,20SEP1982,N,W,38.8,-62.3
1982,DOMINIC,SP,NR,127,950,04APR1982,14APR1982,S,E,-14.3,141.1
1982,DOT,WP,ET,92,970,08AUG1982,18AUG1982,N,E,15,132.4
1982,ELECTRE,SI,TS,51,984,31JAN1982,05FEB1982,S,E,-18.8,48.9
1982,ELLIS,WP,ET,115,915,18AUG1982,04SEP1982,N,E,17.4,135.8
1982,EMA,EP,TS,46,,15SEP1982,19SEP1982,N,W,16.5,-142.2
1982,EMILIA,EP,TS,63,,12JUL1982,15JUL1982,N,W,12.3,-145.3
1982,ERNESTO,NA,ET,69,997,30SEP1982,03OCT1982,N,W,28.5,-66.2
1982,ERROL,SI,NR,63,980,11JAN1982,18JAN1982,S,E,-13.8,112.8
1982,FABIO,EP,TS,81,,17JUL1982,25JUL1982,N,W,15.4,-107.4
1982,FAYE,WP,TS,92,960,20AUG1982,03SEP1982,N,E,12.8,118.6
1982,FRIDA,SI,TS,41,991,31JAN1982,01FEB1982,S,E,-22.5,48.8
1982,GABRIELLE,SI,ET,51,984,05FEB1982,11FEB1982,S,E,-20.1,56
1982,GILMA,EP,TS,127,,26JUL1982,02AUG1982,N,W,15.7,-135.8
1982,GORDON,WP,ET,104,945,26AUG1982,08SEP1982,N,E,24.1,149.4
1982,GRAHAM,SI,NR,63,980,27JAN1982,02FEB1982,S,E,-19.5,120
1982,GYAN,SP,NR,115,925,18DEC1981,29DEC1981,S,E,-19.3,162.6
1982,HANA,EP,TS,46,,15SEP1982,19SEP1982,N,W,15.7,-158.7
1982,HARRIET,SI,NR,58,988,12FEB1982,21FEB1982,S,E,-12.3,110.3
1982,HEBERTE,SI,NR,32,997,12FEB1982,14FEB1982,S,E,-12,73
1982,HECTOR,EP,TS,75,,29JUL1982,03AUG1982,N,W,13.2,-122.6
1982,HETTIE,SP,NR,81,965,24JAN1982,06FEB1982,S,W,-18.2,175.5
1982,HOPE,WP,TS,63,980,04SEP1982,07SEP1982,N,E,16.3,112.5
1982,HSK1382,SI,NR,58,986,10JAN1982,21JAN1982,S,E,-8.5,95.2
1982,HSK1482,SI,NR,58,980,10JAN1982,22JAN1982,S,E,-14.6,128.4
1982,IAN,SI,NR,92,964,23FEB1982,07MAR1982,S,E,-18,120.1
1982,IRVING,WP,TS,98,950,05SEP1982,16SEP1982,N,E,17.2,113.6
1982,ISAAC,SP,NR,109,930,27FEB1982,05MAR1982,S,W,-20.9,-175.4
1982,ISABEAU,SI,TS,32,997,23FEB1982,24FEB1982,S,E,-23,52
1982,IVA,EP,TS,40,,01AUG1982,08AUG1982,N,W,13.2,-111.8
1982,IWA,EP,TS,92,,19NOV1982,25NOV1982,N,W,20.1,-162.9
1982,JOHN,EP,TS,115,,02AUG1982,11AUG1982,N,W,12.3,-141
1982,JUDY,WP,ET,92,955,05SEP1982,15SEP1982,N,E,21.5,134.6
1982,JUSTINE,SI,ET,94,941,16MAR1982,27MAR1982,S,E,-18,39
1982,KARLA,SI,TS,106,927,25APR1982,30APR1982,S,E,-13.7,80
1982,KEN,WP,ET,109,940,15SEP1982,27SEP1982,N,E,21,124.3
1982,KRISTY,EP,TS,92,,08AUG1982,17AUG1982,N,W,15.3,-157.7
1982,LANE,EP,TS,63,,08AUG1982,15AUG1982,N,W,13.2,-117.7
1982,LOLA,WP,ET,52,990,15SEP1982,19SEP1982,N,E,27.8,159
1982,MAC,WP,ET,138,895,01OCT1982,12OCT1982,N,E,16.2,138.3
1982,MIMIE,WP,TS,58,990,15MAR1982,24MAR1982,N,E,8.2,127.9
1982,MIRIAM,EP,TS,86,,30AUG1982,06SEP1982,N,W,15.6,-127
1982,NANCY,WP,TS,115,935,10OCT1982,20OCT1982,N,E,17.6,123.6
1982,NELSON,WP,TS,115,935,18MAR1982,31MAR1982,N,E,9.8,128
1982,NORMAN,EP,TS,104,,09SEP1982,18SEP1982,N,W,16,-121.3
1982,ODESSA,WP,TS,86,965,29MAR1982,04APR1982,N,E,13.2,159.9
1982,OLIVIA,EP,TS,144,,18SEP1982,25SEP1982,N,W,17.1,-110
1982,OWEN,WP,ET,104,940,14OCT1982,29OCT1982,N,E,23.2,143.9
1982,PAMELA,WP,TS,104,940,23NOV1982,08DEC1982,N,E,11.4,161.2
1982,PAT,WP,ET,104,945,16MAY1982,24MAY1982,N,E,18.6,124.7
1982,PAUL,EP,TS,109,,18SEP1982,30SEP1982,N,W,21.5,-110.2
1982,ROGER,WP,TS,69,980,07DEC1982,11DEC1982,N,E,15,122
1982,ROSA,EP,TS,52,,30SEP1982,06OCT1982,N,W,13.7,-98.7
1982,RUBY,WP,ET,81,975,20JUN1982,28JUN1982,N,E,27.3,140
1982,SERGIO,EP,TS,127,,14OCT1982,23OCT1982,N,W,13.7,-108.6
1982,SKIP,WP,ET,52,992,29JUN1982,03JUL1982,N,E,24.9,138.9
1982,TARA,EP,TS,52,,19OCT1982,26OCT1982,N,W,14.7,-118.2
1982,VAL,WP,ET,52,985,25JUN1982,06JUL1982,N,E,17.8,114
1982,WINONA,WP,TS,58,985,10JUL1982,17JUL1982,N,E,14.7,124.5
1983,,NA,TS,35,,23JUL1983,02AUG1983,N,W,10.9,-42.1
1983,ABBY,WP,ET,138,895,04AUG1983,24AUG1983,N,E,17.8,130.8
1983,ADOLPH,EP,ET,109,,21MAY1983,28MAY1983,N,W,11.4,-103.2
1983,ALICIA,NA,ET,115,962,15AUG1983,21AUG1983,N,W,28.9,-95
1983,ARILISY,SI,NR,32,997,27OCT1982,31OCT1982,S,E,-9.8,55.2
1983,BARBARA,EP,TS,132,,09JUN1983,18JUN1983,N,W,13.5,-111.5
1983,BARRY,NA,TS,81,986,23AUG1983,29AUG1983,N,W,25.4,-97.4
1983,BEMANY,SI,ET,71,966,01DEC1982,09DEC1982,S,E,-19.8,59.8
1983,BEN,WP,TS,63,985,11AUG1983,15AUG1983,N,E,31.8,144.6
1983,CARMEN,WP,TS,46,992,09AUG1983,15AUG1983,N,E,19.7,119.8
1983,CHANTAL,NA,TS,75,994,10SEP1983,15SEP1983,N,W,32.8,-60
1983,CLERA,SI,TS,32,997,19DEC1982,20DEC1982,S,E,-14,66
1983,COSME,EP,TS,40,,02JUL1983,05JUL1983,N,W,14.8,-112.8
1983,DADAFY,SI,TS,60,976,24DEC1982,01JAN1983,S,E,-15.7,70.2
1983,DALILIA,EP,TS,69,,05JUL1983,12JUL1983,N,W,16.9,-109.2
1983,DEAN,NA,TS,63,999,26SEP1983,30SEP1983,N,W,34.5,-70.8
1983,DES,SP,NR,40,994,14JAN1983,23JAN1983,S,E,-18.8,153.3
1983,DOM,WP,ET,46,996,18AUG1983,31AUG1983,N,E,24.9,142.7
1983,ELINAH,SI,TS,71,966,09JAN1983,16JAN1983,S,E,-19,38.5
1983,ELINOR,SP,NR,127,935,10FEB1983,04MAR1983,S,E,-15.8,154.6
1983,ELLEN,WP,ET,127,925,28AUG1983,10SEP1983,N,E,18.3,123
1983,ERICK,EP,TS,63,,12JUL1983,16JUL1983,N,W,14.2,-111.4
1983,FELY,SI,TS,23,1003,22JUN1983,24JUN1983,S,E,-16.4,51
1983,FLOSSIE,EP,TS,58,,17JUL1983,21JUL1983,N,W,20.3,-112.2
1983,FORREST,WP,ET,127,885,19SEP1983,30SEP1983,N,E,18,134.7
1983,GEORGIA,WP,TS,81,980,27SEP1983,02OCT1983,N,E,19.2,113
1983,GIL,EP,TS,92,,23JUL1983,05AUG1983,N,W,11.7,-112.8
1983,HENRIETTE,EP,TS,132,,27JUL1983,06AUG1983,N,W,12,-114.3
1983,HERBERT,WP,TS,52,994,06OCT1983,11OCT1983,N,E,12.1,111.5
1983,IDA,WP,ET,69,975,07OCT1983,13OCT1983,N,E,24.8,131.8
1983,ISMAEL,EP,TS,98,,08AUG1983,14AUG1983,N,W,20.5,-115.5
1983,JANE,SI,NR,104,947,02JAN1983,10JAN1983,S,E,-19,119
1983,JOE,WP,TS,63,975,09OCT1983,14OCT1983,N,E,21.7,112.7
1983,JOTI,SP,NR,69,975,31OCT1982,07NOV1982,S,E,-14.5,167.4
1983,JULIETTE,EP,TS,58,,24AUG1983,01SEP1983,N,W,18.2,-119.1
1983,KEN,SI,NR,75,970,28FEB1983,06MAR1983,S,E,-15,124.5
1983,KIKO,EP,TS,144,,31AUG1983,09SEP1983,N,W,18.9,-108.4
1983,KIM,WP,TS,46,994,15OCT1983,18OCT1983,N,E,10.3,110.3
1983,KINA,SP,NR,46,990,06NOV1982,12NOV1982,S,E,-12.6,171.4
1983,LENA,SI,NR,75,980,02APR1983,09APR1983,S,E,-19.4,116.9
1983,LEX,WP,TS,58,985,19OCT1983,27OCT1983,N,E,17.4,112.7
1983,LISA,SP,NR,69,975,10DEC1982,18DEC1982,S,W,-20,-154.3
1983,LORENA,EP,TS,115,,06SEP1983,14SEP1983,N,W,16.5,-103.8
1983,MANUEL,EP,TS,115,,12SEP1983,20SEP1983,N,W,19.9,-114.8
1983,MARGE,WP,ET,127,895,31OCT1983,08NOV1983,N,E,18.2,135.2
1983,MARK,SP,NR,92,955,20JAN1983,01FEB1983,S,W,-16,172.7
1983,MONTY,SI,NR,75,975,22APR1983,29APR1983,S,E,-15.3,103.7
1983,NANO,SP,NR,75,970,21JAN1983,28JAN1983,S,W,-18.2,-140.5
1983,NAOMI,SI,NR,92,960,21APR1983,02MAY1983,S,E,-9.7,82.7
1983,NARDA,EP,TS,69,,21SEP1983,01OCT1983,N,W,17.5,-151.4
1983,NISHA,SP,NR,35,997,20FEB1983,21FEB1983,S,W,-15,-146
1983,NISHA/ORAMA,SP,NR,115,925,20FEB1983,27FEB1983,S,W,-16,-147.4
1983,NORRIS,WP,TS,52,994,08NOV1983,11NOV1983,N,E,19.5,151.5
1983,OCTAVE,EP,TS,52,,27SEP1983,02OCT1983,N,W,14.2,-121.9
1983,ORCHID,WP,TS,127,930,16NOV1983,26NOV1983,N,E,17.1,126.2
1983,OSCAR,SP,NR,127,920,23FEB1983,06MAR1983,S,W,-17.5,175.2
1983,PERCY,WP,TS,81,970,18NOV1983,25NOV1983,N,E,7.3,111.4
1983,PREMA,SP,NR,52,987,25FEB1983,06MAR1983,S,W,-12.6,-160.5
1983,PRISCILLA,EP,TS,115,,30SEP1983,07OCT1983,N,W,15.1,-118.1
1983,RAYMOND,EP,TS,144,,08OCT1983,20OCT1983,N,W,12.4,-121.2
1983,REWA,SP,NR,115,925,07MAR1983,15MAR1983,S,W,-15.5,-149.7
1983,SABA,SP,NR,58,985,20MAR1983,25MAR1983,S,W,-18.2,-135.3
1983,SARAH,WP,ET,40,998,24JUN1983,27JUN1983,N,E,15.6,109.8
1983,SARAH,SP,NR,104,940,23MAR1983,03APR1983,S,W,-18.6,-178
